transaction_id,transaction_date,branch,account_type,transaction_type,channel,customer_segment,status,risk_level,risk_score,amount,transaction_fee,account_balance,monthly_income,credit_score
TXN0191,2026-07-10,Can Tho,Credit,Payment,Mobile App,Retail,Failed,Medium,52,4816882.34,7225.32,134908834.01,21465417.68,624
TXN0192,2026-07-11,Ha Noi,Investment,Deposit,Mobile App,Premium,Completed,Medium,42,16060817.72,0.0,150969651.73,45005954.19,687
TXN0193,2026-07-12,Hai Phong,Savings,Transfer,POS,SME,Completed,Medium,56,11040369.24,38641.29,139890641.2,114044448.64,603
TXN0194,2026-07-13,Da Nang,Current,Loan Repayment,Branch,Corporate,Completed,Low,34,5940961.9,5940.96,133943738.34,190579330.84,710
TXN0195,2026-07-14,Ho Chi Minh,Credit,Withdrawal,ATM,Retail,Completed,Medium,47,5110791.87,10221.58,128822724.89,22502937.62,623
TXN0196,2026-07-15,Can Tho,Savings,Payment,Internet Banking,Premium,Completed,Low,32,3749688.27,5624.53,125067412.09,41283023.46,682
TXN0197,2026-07-16,Ha Noi,Current,Deposit,Mobile App,SME,Pending,Low,22,8089774.34,0.0,133157186.43,89955365.97,666
TXN0198,2026-07-17,Hai Phong,Credit,Payment,Mobile App,Retail,Pending,Low,24,5184607.59,7776.91,127964801.93,20848463.25,629
TXN0199,2026-07-18,Da Nang,Investment,Deposit,POS,Premium,Completed,Medium,51,12387981.49,0.0,140352783.42,43850868.17,700
TXN0200,2026-07-19,Ho Chi Minh,Savings,Transfer,Branch,SME,Completed,Low,25,5695446.75,19934.06,134637402.61,114552480.91,677
